ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Amedeo_Avogadro		NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro		NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro		NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro		NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro		NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	He is what?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	He is what?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	The unification of Italy did what?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	yes	NULL	easy	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Is Avogadro 's number commonly used to compute the results of chemical reactions ?	yes	NULL	easy	S08_set4_a8
Amedeo_Avogadro	Is Avogadro 's number commonly used to compute the results of chemical reactions ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Is Avogadro 's number commonly used to compute the results of chemical reactions ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Is it approximately 6.0221415 10 23 ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Is it approximately 6.0221415 10 23 ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Did the scientific community not reserve great attention to his theory ?	yes	NULL	easy	S08_set4_a8
Amedeo_Avogadro	Did the scientific community not reserve great attention to his theory ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Did the scientific community not reserve great attention to his theory ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	yes	NULL	easy	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Was King Victor Emmanuel III there to pay homage to Avogadro ?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Can the title of this famous 1811 paper be roughly translated into english?	yes	NULL	easy	S08_set4_a8
Amedeo_Avogadro	Can the title of this famous 1811 paper be roughly translated into english?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	Can the title of this famous 1811 paper be roughly translated into english?		NULL		S08_set4_a8
Amedeo_Avogadro	What happened in french?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	What happened in french?		NULL	hard	S08_set4_a8
Amedeo_Avogadro	What happened in 1833?	Avogadro had been recalled to Turin university	NULL	medium	S08_set4_a8
Amedeo_Avogadro	What happened in 1833?	NULL	NULL	NULL	S08_set4_a8
Amedeo_Avogadro	What happened in 1833?	blah blah blah	NULL	hard	S08_set4_a8
Anders_Celsius	Who determined the dependence of the boiling of water with atmospheric pressure?	Anders Celsius	NULL	medium	S08_set4_a5
Anders_Celsius	What is named after him?	The Celsius crater on the Moon	NULL	medium	S08_set4_a5
Anders_Celsius	When did he publish a collection?	1733	NULL	easy	S08_set4_a5
Anders_Celsius	Is it true that he published a collection in 1738?	No	NULL	easy	S08_set4_a5
Anders_Celsius	Is it true that thermometer had 100 for the freezing point?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Was Celsius born in Uppsala in Sweden?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Is The Celsius crater on the Moon named after him?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?	Anders Celsius	NULL	medium	S08_set4_a5
Anders_Celsius	The Celsius crater on the Moon is what?	named after him	NULL	medium	S08_set4_a5
Anders_Celsius	Is the Celsius crater on the Moon named after him ?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?	Yes it had	NULL	easy	S08_set4_a5
Anders_Celsius	Was Celsius born in Uppsala in Sweden ?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Is the Celsius crater on the Moon named after him ?	Yes	NULL	easy	S08_set4_a5
Anders_Celsius	Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?	Yes he did	NULL	easy	S08_set4_a5
Anders_Celsius	What happened from 1730 to 1744?	He was professor of astronomy at Uppsala University	NULL	easy	S08_set4_a5
Anders_Celsius	What happened in 1745?	The scale was reversed	NULL	medium	S08_set4_a5
beetle	Are beetles insects?	Yes	easy	easy	S08_set1_a8
beetle	Are beetles insects?	Yes	easy	easy	S08_set1_a8
beetle	Can beetles be found in polar regions?	No	easy	hard	S08_set1_a8
beetle	Can beetles be found in polar regions?	No	easy	easy	S08_set1_a8
beetle	Do beetles antennae function primarily as organs of smell?	Yes	easy	easy	S08_set1_a8
beetle	Do beetles antennae function primarily as organs of smell?	Yes	easy	easy	S08_set1_a8
beetle	What are the three sections of a beetle?	the head, the thorax, and the abdomen	medium	medium	S08_set1_a8
beetle	What are the three sections of a beetle?	The head, the thorax, and the abdomen	medium	medium	S08_set1_a8
beetle	Which defense mechanism uses colour or shape to deceive potential enemies?	mimicry	medium	easy	S08_set1_a8
beetle	Which defense mechanism uses colour or shape to deceive potential enemies?	Mimicry	medium	medium	S08_set1_a8
beetle	Which type of beetle is a pest of potato plants?	Colorado potato beetle	medium	easy	S08_set1_a8
beetle	Which type of beetle is a pest of potato plants?	Colorado potato beetle	medium	medium	S08_set1_a8
beetle	How can beetle larvae be differentiated from other insect larvae?	their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body	hard	medium	S08_set1_a8
beetle	How can beetle larvae be differentiated from other insect larvae?	By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body	hard	medium	S08_set1_a8
beetle	What do beetles eat?	Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.	hard	hard	S08_set1_a8
beetle	What do beetles eat?	They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates	hard	hard	S08_set1_a8
beetle	What are the similarities between beetles and grasshoppers?	mouthparts	hard	medium	S08_set1_a8
beetle	What are the similarities between beetles and grasshoppers?	Beetles have mouthparts similar to those of grasshoppers	hard	hard	S08_set1_a8
beetle	Are certain species of beetles considered pests?	Yes	easy	easy	S08_set1_a8
beetle	Are certain species of beetles considered pests?	yes	easy	easy	S08_set1_a8
beetle	Is a beetle's general anatomy uniform?	Yes	easy	medium	S08_set1_a8
beetle	Is a beetle's general anatomy uniform?	yes	easy	easy	S08_set1_a8
beetle	Are beetles endopterygotes?	yes	easy	easy	S08_set1_a8
beetle	Are beetles endopterygotes?	yes	easy	easy	S08_set1_a8
beetle	How many species of beetles are there?	350,000	medium	medium	S08_set1_a8
beetle	How many species of beetles are there?	about 350,000	medium	medium	S08_set1_a8
beetle	When are sperm cells transferred to the female?	during pairing	medium	hard	S08_set1_a8
beetle	When are sperm cells transferred to the female?	During pairing	medium	medium	S08_set1_a8
beetle	What is the study of beetles called?	coleopterology	medium	medium	S08_set1_a8
beetle	What is the study of beetles called?	coleopterology	medium	medium	S08_set1_a8
beetle	Is it possible that there are more than 350,000 species of beetles?	yes	hard	hard	S08_set1_a8
beetle	Is it possible that there are more than 350,000 species of beetles?	yes	hard	hard	S08_set1_a8
beetle	Is the Adephaga suborder larger than the Polyphaga suborder?	no	hard	hard	S08_set1_a8
beetle	Is the Adephaga suborder larger than the Polyphaga suborder?	yes	hard	hard	S08_set1_a8
beetle	Do carrion beetles eat dung?	no	hard	medium	S08_set1_a8
beetle	Do carrion beetles eat dung?	no	hard	hard	S08_set1_a8
beetle	What are prey of various animals including birds and mammals?	Beetles.	NULL	easy	S08_set1_a8
beetle	What was given by Aristotle for the hardened shield like forewings?	The name "Coleoptera".	NULL	easy	S08_set1_a8
beetle	Who or what vary greatly in form within the coleoptera?	Antennae.	NULL	easy	S08_set1_a8
beetle	Are many beetles territorial?	Yes.	NULL	easy	S08_set1_a8
beetle	Are beetles endopterygotes with complete metamorphosis?	Yes.	NULL	easy	S08_set1_a8
beetle	Oxygen is what?	One kind of gas obtained via a tracheal system.	NULL	too hard	S08_set1_a8
beetle	Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?	Yes.	NULL	easy	S08_set1_a8
beetle	Have coleopterists formed organisations to facilitate the study of beetles ?	Yes.	NULL	easy	S08_set1_a8
beetle	Is the study of beetles called coleopterology , and its practitioners are coleopterists ?	Yes.	NULL	medium	S08_set1_a8
beetle	May a single female lay from several dozen to several thousand eggs during her lifetime ?	Yes.	NULL	easy	S08_set1_a8
beetle	Can beetles be found in almost all habitats?	Yes.	NULL	easy	S08_set1_a8
beetle	What happened on plants and fungi?	They are food to beetles.	NULL	hard	S08_set1_a8
Calvin_Coolidge	Was Calvin Coolidge the twenty-ninth vice president?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge the twenty-ninth vice president?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Did Coolidge graduate from Black River Academy?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Did Coolidge graduate from Black River Academy?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	When did he drop John from his name?	upon graduating from college	medium	medium	S08_set3_a9
Calvin_Coolidge	When did he drop John from his name?	Upon graduating from college	medium	medium	S08_set3_a9
Calvin_Coolidge	When did Coolidge meet and marry Grace Anna Goodhue?	1905	medium	medium	S08_set3_a9
Calvin_Coolidge	When did Coolidge meet and marry Grace Anna Goodhue?	In 1905	medium	medium	S08_set3_a9
Calvin_Coolidge	What period of rapid economic growth did the United States experience during Coolidge's presidency?	the Roaring Twenties	medium	medium	S08_set3_a9
Calvin_Coolidge	What period of rapid economic growth did the United States experience during Coolidge's presidency?	the "Roaring Twenties"	medium	medium	S08_set3_a9
Calvin_Coolidge	What did Coolidge do after graduating from Amherst?	Coolidge moved to Northampton, MassachuS08_setts	hard	medium	S08_set3_a9
Calvin_Coolidge	What did Coolidge do after graduating from Amherst?	Coolidge moved to Northampton, MassachuS08_setts to take up the practice of law	hard	medium	S08_set3_a9
Calvin_Coolidge	Of what state was Coolidge governor?	MassachuS08_setts	hard	medium	S08_set3_a9
Calvin_Coolidge	Who appointed Harlan Fiske Stone to the Supreme Court?	Coolidge	hard	medium	S08_set3_a9
Calvin_Coolidge	Who appointed Harlan Fiske Stone to the Supreme Court?	Coolidge	hard	hard	S08_set3_a9
Calvin_Coolidge	Was Coolidge the thirteenth President of the United States?	No	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Coolidge the thirteenth President of the United States?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge Republican?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge Republican?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge a governor of MassachuS08_setts?	Yes	easy	medium	S08_set3_a9
Calvin_Coolidge	Was Calvin Coolidge a governor of MassachuS08_setts?	Yes	easy	medium	S08_set3_a9
Calvin_Coolidge	When was Coolidge born?	July 4 1872	medium	medium	S08_set3_a9
Calvin_Coolidge	When was Coolidge born?	Plymouth, Windsor County, Vermont	medium	easy	S08_set3_a9
Calvin_Coolidge	Where did Coolidge's grandfather had government offices?	Plymouth	medium	medium	S08_set3_a9
Calvin_Coolidge	Where did Coolidge's grandfather had government offices?	The town of Plymouth Notch	medium	hard	S08_set3_a9
Calvin_Coolidge	Which state were Coolidge born in?	Plymouth, Windsor County, Vermont	medium	medium	S08_set3_a9
Calvin_Coolidge	Which state were Coolidge born in?	Vermont	medium	medium	S08_set3_a9
Calvin_Coolidge	Is Calvin Jr. older than John Coolidge?	No	hard	hard	S08_set3_a9
Calvin_Coolidge	Is Calvin Jr. older than John Coolidge?	No	hard	hard	S08_set3_a9
Calvin_Coolidge	Did Coolidge get in Amherst College?	Yes	hard	medium	S08_set3_a9
Calvin_Coolidge	Did Coolidge get in Amherst College?	Yes	hard	hard	S08_set3_a9
Calvin_Coolidge	What caused Calvin Jr.'s death?	heart attack	hard	hard	S08_set3_a9
Calvin_Coolidge	What caused Calvin Jr.'s death?	Heart attack	hard	easy	S08_set3_a9
Calvin_Coolidge	Was John Calvin Coolidge Jr. was born in Las Vegas?	No	easy	easy	S08_set3_a9
Calvin_Coolidge	Was John Calvin Coolidge Jr. was born in Las Vegas?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?	Yes	easy	medium	S08_set3_a9
Calvin_Coolidge	Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?	no	easy	hard	S08_set3_a9
Calvin_Coolidge	Did Coolidge meet and marry Grace Anna Goodhue?	Yes	easy	easy	S08_set3_a9
Calvin_Coolidge	Did Coolidge meet and marry Grace Anna Goodhue?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	What year did Coolidge open his own law office?	1898	medium	medium	S08_set3_a9
Calvin_Coolidge	What year did Coolidge open his own law office?	1898	medium	easy	S08_set3_a9
Calvin_Coolidge	What fraternity was Coolidge a member of?	Phi Gamma Delta	medium	medium	S08_set3_a9
Calvin_Coolidge	What fraternity was Coolidge a member of?	phi gamma delta	medium	medium	S08_set3_a9
Calvin_Coolidge	In 1905 Coolidge met and married whom?	Grace Anna Goodhue	medium	medium	S08_set3_a9
Calvin_Coolidge	In 1905 Coolidge met and married whom?	Grace Anna Goodhue	medium	medium	S08_set3_a9
Calvin_Coolidge	Why did Coolidge not attend law school?	It was too expensive	hard	hard	S08_set3_a9
Calvin_Coolidge	Why did Coolidge not attend law school?	cost	hard	too hard	S08_set3_a9
Calvin_Coolidge	Have there been other US presidents that have visited Cuba?	No	hard	medium	S08_set3_a9
Calvin_Coolidge	Have there been other US presidents that have visited Cuba?	no	hard	medium	S08_set3_a9
Calvin_Coolidge	What years were Coolidge's two sons born in?	1906 and 1908	hard	medium	S08_set3_a9
Calvin_Coolidge	What years were Coolidge's two sons born in?	1906 and 1908	hard	medium	S08_set3_a9
Calvin_Coolidge	What thrust him into the national spotlight?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What to be born on the fourth of July?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	Who was the elder of two children of John Calvin Sr and Victoria Coolidge?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	Who or what placed as high as sixth in the voting?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	Is it true that he appointed stone to the supreme court?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What do well - received and he have in common?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What did Coolidge address in 1924?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	Was Coolidge more outspoken?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	Was Coolidge admitted to the bar?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What emigrated from Cambridge?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What graduated from Black?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	What Retrieved on May?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	He later what?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	They were what?	NULL	NULL	NULL	S08_set3_a9
Calvin_Coolidge	The Republicans retained what?	NULL	NULL	NULL	S08_set3_a9
